SNR_dB,learned_rho,baseline_rho,learned_pep_near,learned_pep_far,baseline_pep_near,baseline_pep_far,learned_T_near,learned_T_far,learned_T_sum,baseline_T_near,baseline_T_far,baseline_T_sum,P_B,P_C,learned_EE,baseline_EE
0.0,0.3500,0.5000,0.4550367651,0.4553965444,0.4560791985,0.4563991845,0.2724816175,0.1361508639,0.4086324814,0.2719604008,0.1359002039,0.4078606046,1.0000000000,0.2000000000,0.3405270678,0.3398838372
2.0,0.3500,0.5000,0.4208166095,0.4217975589,0.4227399880,0.4236129345,0.2895916953,0.1445506103,0.4341423055,0.2886300060,0.1440967664,0.4327267723,1.5848931925,0.2000000000,0.2432315319,0.2424384687
4.0,0.3500,0.5000,0.3692574500,0.3716973198,0.3730362326,0.3752065603,0.3153712750,0.1570756700,0.4724469450,0.3134818837,0.1561983599,0.4696802436,2.5118864315,0.2000000000,0.1742133961,0.1731931832
6.0,0.3500,0.5000,0.3009028757,0.3062364116,0.3079597859,0.3127199508,0.3495485622,0.1734408971,0.5229894593,0.3460201071,0.1718200123,0.5178401194,3.9810717055,0.2000000000,0.1250850251,0.1238534414
8.0,0.2500,0.5000,0.2263947674,0.2367730493,0.2340438572,0.2430267487,0.3868026163,0.1908067377,0.5776093540,0.3829780714,0.1892433128,0.5722213842,6.3095734448,0.2000000000,0.0887322893,0.0879045899
10.0,0.2500,0.5000,0.1479697599,0.1640496453,0.1615410846,0.1759136059,0.4260151201,0.2089875887,0.6350027087,0.4192294577,0.2060215985,0.6252510562,10.0000000000,0.2000000000,0.0622551675,0.0612991232
12.0,0.2500,0.5000,0.0845758155,0.1049433676,0.1003865594,0.1198223738,0.4577120922,0.2237641581,0.6814762503,0.4498067203,0.2200444066,0.6698511269,15.8489319246,0.2000000000,0.0424624052,0.0417380502
14.0,0.2000,0.5000,0.0430646243,0.0651271829,0.0561656085,0.0786372090,0.4784676879,0.2337182043,0.7121858921,0.4719171958,0.2303406978,0.7022578935,25.1188643151,0.2000000000,0.0281286666,0.0277365479
16.0,0.2000,0.5000,0.0191196882,0.0391462507,0.0286039394,0.0514453850,0.4904401559,0.2402134373,0.7306535932,0.4856980303,0.2371386537,0.7228366841,39.8107170553,0.2000000000,0.0182614471,0.0180660767
18.0,0.2000,0.5000,0.0078999035,0.0245989557,0.0135213660,0.0347577603,0.4960500482,0.2438502611,0.7399003093,0.4932393170,0.2413105599,0.7345498769,63.0957344480,0.2000000000,0.0116895762,0.0116050455
20.0,0.1500,0.5000,0.0030958722,0.0167315181,0.0060665744,0.0248976084,0.4984520639,0.2458171205,0.7442691844,0.4969667128,0.2437755979,0.7407423107,100.0000000000,0.2000000000,0.0074278362,0.0073926378
22.0,0.1500,0.5000,0.0011963604,0.0122023670,0.0026362348,0.0191280238,0.4994018198,0.2469494082,0.7463512280,0.4986818826,0.2452179941,0.7438998767,158.4893192461,0.2000000000,0.0047032228,0.0046877753
24.0,0.1500,0.5000,0.0004712040,0.0097037765,0.0011281783,0.0157276441,0.4997643980,0.2475740559,0.7473384539,0.4994359108,0.2460680890,0.7455039998,251.1886431510,0.2000000000,0.0029728410,0.0029655437
26.0,0.1500,0.5000,0.0001912487,0.0082808695,0.0004822417,0.0136952922,0.4999043756,0.2479297826,0.7478341583,0.4997588792,0.2465761770,0.7463350561,398.1071705535,0.2000000000,0.0018775312,0.0018737676
28.0,0.1000,0.5000,0.0000750517,0.0072435512,0.0002087014,0.0124628661,0.4999624741,0.2481891122,0.7481515863,0.4998956493,0.2468842835,0.7467799328,630.9573444802,0.2000000000,0.0011853646,0.0011831914
30.0,0.1000,0.5000,0.0000328222,0.0066974614,0.0000928000,0.0117064235,0.4999835889,0.2483256346,0.7483092236,0.4999536000,0.2470733941,0.7470269941,1000.0000000000,0.2000000000,0.0007481596,0.0007468776
32.0,0.1000,0.5000,0.0000153537,0.0063668371,0.0000431225,0.0112379098,0.4999923231,0.2484082907,0.7484006139,0.4999784388,0.2471905225,0.7471689613,1584.8931924611,0.2000000000,0.0004721493,0.0004713723
34.0,0.0500,0.5000,0.0000073085,0.0059940803,0.0000213440,0.0109458793,0.4999963458,0.2485014799,0.7484978257,0.4999893280,0.2472635302,0.7472528582,2511.8864315096,0.2000000000,0.0002979586,0.0002974630
36.0,0.0500,0.5000,0.0000040672,0.0058284387,0.0000114702,0.0107630706,0.4999979664,0.2485428903,0.7485408567,0.4999942649,0.2473092324,0.7473034972,3981.0717055350,0.2000000000,0.0001880155,0.0001877047
38.0,0.0500,0.5000,0.0000025265,0.0057257943,0.0000067951,0.0106483099,0.4999987368,0.2485685514,0.7485672882,0.4999966024,0.2473379225,0.7473345250,6309.5734448019,0.2000000000,0.0001186362,0.0001184408
40.0,0.0500,0.5000,0.0000017483,0.0056618108,0.0000044682,0.0105761352,0.4999991259,0.2485845473,0.7485836732,0.4999977659,0.2473559662,0.7473537321,10000.0000000000,0.2000000000,0.0000748569,0.0000747339
